aX,aY,aZ,gX,gY,gZ
2.199,0.627,0.088,-24.353,43.762,-32.227
2.334,0.371,-0.162,-21.362,94.971,-67.200
2.247,0.111,-0.522,-23.254,160.156,-98.999
1.687,0.036,-1.142,-1.648,244.080,-124.573
0.804,-0.039,-2.856,87.891,352.478,-147.888
0.160,-0.097,-4.000,153.320,427.429,-164.734
-0.464,-0.792,-4.000,166.992,433.289,-193.359
-0.881,-1.099,-4.000,163.635,376.038,-185.974
-1.044,-0.779,-4.000,168.274,236.450,-138.428
-1.282,-0.587,-4.000,120.605,48.157,-97.168
-1.756,-0.254,-4.000,24.414,-117.981,-56.824
-2.259,0.560,-4.000,-60.303,-238.708,-11.719
-2.605,0.108,-2.922,-119.629,-361.572,-8.362
-2.860,-1.480,0.868,-222.168,-535.339,-54.810
-2.545,-1.814,4.000,-159.668,-706.909,-75.989
-1.613,1.293,4.000,263.306,-700.256,-43.274
-1.905,2.935,4.000,624.084,-277.832,-131.958
-1.524,-3.103,1.668,420.349,87.036,-425.293
0.013,-4.000,4.000,19.531,-326.538,-450.378
0.955,-3.861,4.000,-254.211,-931.580,-37.659
0.510,2.254,4.000,-183.411,-628.235,315.735
-1.358,3.794,4.000,-136.353,260.315,251.160
-1.891,1.490,2.120,-135.986,759.033,25.940
-1.715,-0.389,0.926,-137.817,559.326,-44.678
-1.651,-1.230,3.917,-207.642,187.378,-15.625
-1.530,-1.502,3.995,-235.596,160.950,11.414
-1.280,-1.541,1.770,-222.595,303.833,30.029
-0.948,-1.584,0.201,-199.768,316.467,48.828
-0.612,-1.333,0.132,-194.153,220.154,73.853
-0.357,-0.915,0.363,-175.049,148.071,92.224
-0.088,-0.643,-0.100,-137.085,146.973,92.896
0.124,-0.491,-0.878,-111.023,162.048,75.623
0.338,-0.322,-1.340,-131.836,156.433,59.387
0.521,-0.679,-1.493,-71.594,127.380,42.297
0.613,-0.757,-1.599,-52.917,107.117,44.739
0.610,-0.949,-1.590,-69.092,98.816,47.729
0.536,-1.118,-1.759,-87.158,95.947,48.462
0.398,-1.066,-2.093,-70.007,99.976,52.002
0.256,-1.132,-2.468,-49.683,101.563,51.758
0.248,-0.885,-2.840,-20.264,93.994,60.913
0.300,-0.403,-3.159,29.724,78.857,70.557
0.304,-0.137,-3.542,71.289,69.214,56.458
0.310,-0.189,-3.935,104.614,58.289,21.973
0.344,-0.441,-3.982,126.465,26.733,-12.939
0.429,-0.790,-3.792,121.155,-16.235,-39.307
0.622,-1.266,-3.353,111.877,-66.467,-50.720
0.873,-1.553,-2.551,104.797,-125.305,-40.283
1.163,-1.591,-1.474,82.581,-178.772,-8.850
1.516,-1.500,-0.345,63.232,-217.102,27.405
1.778,-1.213,0.884,48.462,-239.014,63.416
1.933,-0.831,1.719,32.471,-217.834,91.675
1.960,-0.201,1.977,23.926,-154.480,109.314
1.878,0.351,1.904,27.405,-84.534,108.887
1.722,0.619,1.665,51.392,-26.062,88.135
1.516,0.533,1.248,81.970,23.376,59.998
1.294,0.487,0.694,98.450,65.308,38.513
1.073,0.344,0.099,84.717,91.370,23.010
0.900,0.214,-0.413,67.200,97.290,13.367
0.743,0.116,-0.682,49.744,83.862,9.033
0.644,0.053,-0.788,53.101,59.570,9.949
0.610,-0.014,-0.763,60.730,33.875,10.864
0.608,-0.153,-0.614,47.729,10.132,7.629
0.643,-0.189,-0.442,21.362,-4.089,5.188
0.686,-0.194,-0.357,0.793,-8.484,4.272
0.743,-0.241,-0.309,-21.057,-9.705,0.244
0.784,-0.288,-0.274,-35.461,-11.475,-3.235
0.810,-0.253,-0.219,-23.437,-15.198,-0.610
0.848,-0.146,-0.155,-13.245,-17.944,3.967
0.825,-0.049,-0.111,-12.451,-17.944,5.371
0.937,0.014,-0.051,-17.273,-17.517,2.502
0.956,-0.004,0.086,-20.386,-18.799,-1.343
0.963,0.001,0.104,-0.549,-16.602,-1.831
1.008,0.024,0.179,-1.770,-13.489,-3.601
1.026,-0.109,0.198,-19.592,-8.606,-11.658
1.032,-0.163,0.130,-26.062,-2.075,-14.465
1.043,-0.157,0.042,-29.907,1.892,-11.353
1.044,-0.218,-0.004,-30.090,1.282,-10.315
1.045,-0.239,0.008,-24.170,-2.991,-6.714
1.034,-0.241,0.040,-18.738,-6.042,-3.479
1.020,-0.197,0.028,-19.531,-4.456,-0.916
1.007,-0.144,0.017,-24.353,-1.770,-0.488
1.002,-0.125,0.040,-21.423,-0.977,-1.953
0.996,-0.176,0.061,-12.817,0.244,-4.150
0.991,-0.194,0.035,-5.737,3.906,-4.578
0.990,-0.187,0.012,-1.953,6.042,-3.723
0.988,-0.202,0.026,-2.502,5.310,-3.235
0.989,-0.208,0.034,-2.075,4.822,-1.343
0.986,-0.208,0.044,-4.517,4.639,0.916
0.980,-0.174,0.045,-6.409,5.676,3.418
0.974,-0.110,0.051,-4.883,6.287,4.395
0.965,-0.080,0.040,-2.075,7.812,1.892
0.952,-0.086,0.007,0.916,9.827,-2.136
0.940,-0.133,-0.051,3.357,11.047,-5.493
0.935,-0.164,-0.091,-0.793,9.460,-7.507
0.939,-0.196,-0.055,-10.498,4.822,-8.057
0.939,-0.225,-0.034,-14.465,1.709,-7.812
0.948,-0.231,-0.041,-14.160,1.587,-6.165
0.958,-0.245,-0.014,-12.024,-0.549,-5.249
0.965,-0.226,0.054,-8.179,-3.296,-3.601
0.968,-0.187,0.086,-4.211,-2.258,-1.343
0.968,-0.166,0.050,-0.671,1.709,-0.366
0.964,-0.175,0.028,-1.099,3.357,-0.732
0.969,-0.160,0.050,-5.798,2.319,-0.183
0.967,-0.167,0.064,-9.033,2.136,0.305
