aX,aY,aZ,gX,gY,gZ
-0.044,-0.915,-0.302,-3.784,1.343,1.648
-0.050,-0.962,-0.297,-6.348,2.625,-1.404
-0.053,-0.977,-0.316,-8.911,5.127,-2.197
-0.049,-0.971,-0.319,-6.775,5.493,-2.075
-0.047,-0.983,-0.302,-0.183,4.089,-2.258

-0.888,-1.361,-0.482,-44.495,-10.864,44.128
-0.981,-1.358,-0.566,-55.603,-4.211,74.768
-1.057,-1.296,-0.664,-62.134,-4.456,103.943
-1.099,-1.274,-0.717,-53.833,-16.418,133.118
-1.166,-1.335,-0.669,-46.021,-42.725,157.776
-1.240,-1.387,-0.578,-41.870,-71.106,184.021
-1.299,-1.347,-0.524,-26.917,-93.811,215.088
-1.345,-1.267,-0.534,-16.479,-112.671,245.911
-1.400,-1.192,-0.494,-28.870,-133.972,277.344
-1.446,-1.104,-0.427,-48.462,-154.785,310.852
-1.490,-1.005,-0.375,-58.472,-171.570,344.543
-1.581,-0.860,-0.367,-64.880,-185.364,374.878
-1.509,-0.851,-0.408,-69.397,-200.134,397.705
-1.581,-0.865,-0.262,-86.304,-228.882,423.645
-1.644,-1.065,-0.011,-95.520,-263.916,447.571
-1.734,-1.186,0.234,-88.867,-299.744,475.891
-1.828,-1.165,0.402,-85.876,-327.698,519.775
-1.938,-0.947,0.550,-113.098,-347.473,575.684
-2.019,-0.558,0.661,-122.803,-365.356,631.042
-2.085,-0.038,0.895,-108.765,-389.893,675.659
-2.068,0.610,1.405,-86.731,-414.246,704.468
-1.445,1.584,2.179,4.517,-443.420,717.102
-0.746,2.727,3.239,156.433,-480.652,706.848
-0.073,3.463,4.000,242.981,-470.337,636.475
0.443,3.574,4.000,182.739,-361.389,506.836
0.728,3.093,2.961,35.217,-183.533,366.028
0.835,2.493,1.568,-63.293,-55.176,269.714
0.896,2.332,0.897,-44.861,-36.011,230.225
1.036,2.375,0.945,10.315,-72.571,207.031
1.178,2.177,1.136,44.067,-94.666,166.565
1.262,1.620,1.089,30.640,-81.177,118.286
1.311,1.094,0.807,0.793,-54.382,87.524
1.400,0.767,0.567,-20.752,-43.945,82.214
1.396,0.486,0.686,-26.001,-60.425,86.670
1.401,0.325,0.958,-27.527,-77.087,95.215
1.385,0.219,1.057,-28.442,-73.364,104.126
1.335,0.098,1.007,-15.076,-57.739,110.535
1.268,0.172,0.844,-1.465,-40.283,125.000
1.199,0.371,0.684,8.911,-30.334,140.503
1.114,0.537,0.553,8.728,-28.748,147.827
1.034,0.657,0.449,1.221,-30.518,149.292
0.957,0.804,0.395,-9.399,-34.973,150.818
0.891,0.873,0.431,-20.081,-41.382,148.987
0.836,0.901,0.529,-16.968,-47.607,144.043
0.796,0.946,0.586,2.197,-49.744,140.991
0.776,1.006,0.644,13.611,-49.316,136.597
0.773,1.071,0.709,13.184,-47.424,127.563
0.772,1.046,0.797,9.216,-45.044,111.694
0.782,1.024,0.885,7.141,-40.527,94.971
0.805,1.026,0.928,4.272,-32.166,79.102
0.802,1.017,0.897,15.259,-21.973,61.523
0.807,1.023,0.884,22.400,-14.709,44.006
0.803,0.958,0.889,17.212,-9.216,22.766
0.797,0.765,0.906,-0.183,-3.235,-1.770
0.795,0.584,0.905,-9.277,4.333,-20.752
0.792,0.461,0.878,-6.653,12.634,-31.189
0.774,0.305,0.830,-1.343,19.958,-38.818
0.755,0.218,0.776,-2.380,26.123,-40.527
0.743,0.155,0.687,-10.437,32.166,-38.696
0.732,0.133,0.599,-18.311,36.621,-34.912
0.713,0.076,0.517,-13.855,37.292,-30.273
0.697,0.018,0.487,-7.080,33.020,-24.963
0.686,0.005,0.468,-4.211,27.466,-16.968
0.685,0.110,0.431,-0.671,22.705,-6.470
0.674,0.193,0.392,-3.540,17.517,0.061
0.665,0.218,0.385,-9.583,9.888,1.953
0.664,0.293,0.422,-15.259,1.465,4.639
0.661,0.298,0.506,-10.681,-5.432,5.493
0.654,0.263,0.609,3.357,-10.559,4.578
0.658,0.308,0.703,10.376,-11.536,6.958
0.657,0.390,0.706,14.221,-6.531,8.972
0.652,0.434,0.643,11.719,-0.427,7.324
0.651,0.395,0.627,0.793,1.038,1.770
0.651,0.379,0.669,-6.042,-1.038,-1.892
0.653,0.383,0.683,-7.935,-0.244,-3.052
0.656,0.396,0.673,-13.062,2.808,-4.761
0.657,0.411,0.649,-16.846,6.042,-7.080
